id,carat,cut,color,clarity,depth,table,x,y,z,price
3888,0.53,Ideal,G,IF,61.9,56.0,5.18,5.22,3.21,2247
3889,0.31,Ideal,G,IF,61.8,54.0,4.36,4.38,2.7,891
3890,0.53,Very Good,F,SI2,60.5,60.0,5.19,5.23,3.15,1132
3891,0.39,Premium,J,VS2,61.3,60.0,4.68,4.65,2.86,746
3892,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,8513
3893,0.71,Ideal,I,SI1,61.6,55.0,5.72,5.74,3.53,2319
3894,0.27,Ideal,H,VS1,62.2,56.0,4.12,4.15,2.57,449
3895,1.1,Premium,G,VS2,60.3,57.0,6.73,6.68,4.04,6032
3896,0.9,Fair,G,SI1,65.4,57.0,6.04,5.95,3.92,3145
3897,0.42,Ideal,G,SI2,60.9,56.0,4.87,4.89,2.97,971
3898,1.15,Very Good,H,SI2,61.9,57.0,6.68,6.72,4.15,4654
3899,0.76,Very Good,I,SI1,62.0,56.0,5.81,5.84,3.61,2352
3900,1.1,Ideal,G,SI1,62.3,56.0,6.64,6.58,4.12,5226
3901,0.78,Ideal,E,VS2,62.0,55.0,5.89,5.95,3.67,3334
3902,0.32,Ideal,D,VS2,61.7,55.0,4.39,4.42,2.72,1066
3903,0.7,Premium,H,SI2,61.3,61.0,5.67,5.62,3.46,1749
3904,1.41,Premium,H,SI2,59.1,57.0,7.41,7.34,4.36,7106
3905,0.32,Very Good,G,SI1,62.8,56.0,4.34,4.36,2.73,477
3906,0.3,Ideal,F,VVS1,62.5,55.0,4.26,4.29,2.67,814
3907,0.5,Good,D,SI2,58.5,64.0,5.2,5.12,3.02,1015
3908,0.73,Ideal,G,VS1,60.7,57.0,5.85,5.81,3.54,3411
3909,1.7,Very Good,I,VS2,58.5,59.0,7.81,7.89,4.59,11190
3910,0.44,Ideal,G,VVS1,61.6,56.0,4.88,4.9,3.01,1235
3911,1.0,Very Good,D,SI2,62.8,58.0,6.29,6.39,3.98,4595
3912,2.03,Very Good,G,SI1,61.3,59.0,8.08,8.11,4.96,18257
3913,0.3,Ideal,F,VS1,61.4,56.0,4.33,4.37,2.67,658
3914,1.51,Ideal,E,VS2,59.8,59.0,7.55,7.47,4.49,13986
3915,0.31,Ideal,G,VVS2,62.0,56.0,4.33,4.35,2.69,726
3916,0.37,Ideal,E,VVS1,61.5,56.0,4.64,4.59,2.84,1179
3917,0.31,Very Good,D,VVS2,60.5,56.0,4.38,4.41,2.66,1009
3918,0.4,Ideal,F,VVS2,61.7,55.0,4.76,4.74,2.93,1163
3919,1.5,Very Good,G,I1,60.3,61.0,7.34,7.39,4.44,5808
3920,0.43,Premium,F,SI1,61.3,60.0,4.86,4.83,2.97,1016
3921,1.01,Good,J,SI1,63.6,54.0,6.44,6.36,4.07,3665
3922,1.02,Premium,G,VS2,62.1,59.0,6.47,6.41,4.0,6169
3923,0.41,Ideal,F,SI1,61.6,57.0,4.8,4.78,2.95,904
3924,1.05,Very Good,I,VS2,63.2,56.0,6.47,6.51,4.1,4895
3925,0.54,Ideal,I,VS1,61.5,56.0,5.24,5.26,3.23,1147
3926,2.18,Very Good,G,SI2,61.0,60.0,8.29,8.33,5.07,17475
3927,1.01,Premium,E,SI2,61.8,61.0,6.35,6.29,3.9,3801
3928,0.41,Ideal,I,VVS1,62.3,53.0,4.77,4.79,2.98,785
3929,0.59,Very Good,E,SI1,61.3,58.0,5.41,5.45,3.33,1748
3930,1.52,Very Good,D,VS2,63.4,59.0,7.32,7.24,4.61,14680
3931,1.23,Ideal,H,SI2,60.6,57.0,6.98,6.94,4.22,5951
3932,0.33,Ideal,F,IF,61.2,56.0,4.48,4.5,2.75,957
3933,1.05,Premium,G,SI2,61.3,58.0,6.55,6.6,4.03,4241
3934,0.71,Good,I,SI1,64.2,57.0,5.59,5.57,3.58,1715
3935,1.01,Good,F,VS2,63.6,59.0,6.32,6.36,4.03,5988
3936,0.23,Ideal,G,VVS1,61.9,58.0,3.93,3.96,2.44,536
3937,1.01,Very Good,E,VS2,63.4,60.0,6.37,6.31,4.02,6787
3938,0.33,Premium,G,VS1,61.8,59.0,4.39,4.45,2.73,666
3939,0.76,Ideal,F,VVS2,60.9,57.0,5.89,5.96,3.61,3716
3940,0.38,Premium,D,VVS1,60.4,59.0,4.7,4.71,2.84,1400
3941,1.21,Premium,I,SI2,61.8,60.0,6.86,6.76,4.21,4391
3942,1.22,Ideal,H,VS1,62.3,55.0,6.8,6.84,4.25,7418
3943,0.3,Ideal,H,VVS2,62.6,55.0,4.28,4.25,2.67,776
3944,0.32,Ideal,I,VS2,62.2,57.0,4.42,4.39,2.74,576
3945,0.31,Ideal,D,SI1,62.0,56.0,4.39,4.35,2.71,684
3946,1.16,Ideal,F,VVS1,61.5,56.0,6.76,6.81,4.17,13595
3947,0.3,Good,E,VVS2,61.1,61.0,4.32,4.36,2.65,622
3948,0.77,Ideal,F,SI2,61.7,56.0,5.91,5.96,3.66,2401
3949,2.14,Fair,J,I1,69.4,57.0,7.74,7.7,5.36,5405
3950,0.8,Very Good,G,SI1,62.9,56.0,5.88,5.95,3.72,3070
3951,0.61,Good,H,VS1,60.1,60.3,5.47,5.5,3.29,1706
3952,0.33,Ideal,E,VS2,61.9,56.0,4.46,4.43,2.75,928
3953,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1781
3954,1.06,Ideal,I,SI2,62.7,58.0,6.48,6.5,4.07,4591
3955,1.57,Very Good,I,VS2,60.3,58.0,7.58,7.55,4.56,10447
3956,1.02,Good,F,SI2,59.2,58.0,6.51,6.56,3.87,4356
3957,1.0,Good,G,SI1,62.2,63.0,6.36,6.41,3.97,5483
3958,0.23,Very Good,E,VS2,62.5,59.0,3.91,3.96,2.46,373
3959,0.79,Premium,H,VS2,62.6,61.0,5.9,5.86,3.68,2726
3960,2.31,Premium,H,SI2,59.2,61.0,8.65,8.57,5.1,13831
3961,0.3,Ideal,E,VS2,61.5,56.0,4.33,4.29,2.65,844
3962,0.33,Ideal,F,VVS2,61.8,54.0,4.47,4.5,2.77,761
3963,0.38,Premium,G,VS2,60.8,61.0,4.66,4.65,2.83,983
3964,0.3,Ideal,G,VVS2,60.9,57.0,4.32,4.35,2.64,684
3965,0.71,Ideal,J,VS1,61.9,55.0,5.69,5.75,3.54,1932
3966,0.34,Ideal,F,VS2,62.5,55.0,4.51,4.48,2.81,880
3967,0.6,Ideal,F,SI1,61.5,58.0,5.38,5.41,3.32,1646
3968,0.4,Very Good,E,VVS2,62.1,59.0,4.67,4.7,2.91,1189
3969,1.02,Ideal,H,SI2,59.8,58.0,6.55,6.59,3.93,4742
3970,1.1,Good,I,VS1,63.7,60.0,6.61,6.45,4.16,4967
3971,1.03,Ideal,H,SI2,61.1,57.0,6.48,6.52,3.97,4325
3972,1.2,Fair,F,I1,65.7,56.0,6.65,6.58,4.35,2622
3973,0.52,Ideal,G,VS1,61.2,56.0,5.19,5.22,3.18,1662
3974,1.58,Very Good,H,VS1,60.3,62.0,7.53,7.57,4.55,12483
3975,1.07,Premium,E,VS2,62.5,57.0,6.6,6.53,4.1,6232
3976,1.09,Ideal,H,SI1,62.3,57.0,6.58,6.54,4.09,5149
3977,0.8,Good,F,SI2,63.9,57.0,5.86,5.84,3.74,2189
3978,1.28,Ideal,G,VS2,62.2,57.0,6.99,6.94,4.33,8774
3979,0.41,Premium,E,VVS1,61.2,62.0,4.78,4.76,2.92,1241
3980,1.01,Good,E,SI1,63.2,59.0,6.27,6.35,3.99,5411
3981,1.03,Very Good,G,SI2,63.0,57.0,6.4,6.42,4.04,4315
3982,0.31,Ideal,I,VS2,59.9,57.0,4.4,4.38,2.63,558
3983,1.51,Ideal,F,SI1,62.3,57.0,7.33,7.3,4.56,12459
3984,1.5,Good,G,SI1,62.9,58.0,7.17,7.3,4.55,10271
3985,0.78,Premium,H,SI2,59.7,59.0,6.03,5.97,3.58,2074
3986,0.9,Very Good,I,SI2,61.5,61.0,6.13,6.16,3.78,3057
3987,1.04,Ideal,G,VS1,61.8,56.0,6.5,6.52,4.02,7467
3988,1.2,Ideal,J,SI2,61.7,56.0,6.79,6.87,4.21,4659
3989,0.36,Premium,D,VS2,59.1,58.0,4.68,4.63,2.75,1094
3990,1.24,Ideal,E,SI1,63.5,55.0,6.86,6.82,4.35,7701
3991,0.71,Premium,H,SI2,60.5,60.0,5.81,5.73,3.49,2224
3992,1.0,Very Good,F,SI2,63.4,58.0,6.31,6.25,3.98,4036
3993,0.51,Very Good,F,SI2,62.7,56.0,5.07,5.1,3.19,1100
3994,1.0,Ideal,J,SI2,61.2,56.0,6.49,6.38,3.94,2657
3995,0.39,Ideal,E,SI2,61.0,55.0,4.74,4.77,2.9,614
3996,0.87,Ideal,H,SI2,62.7,56.0,6.16,6.13,3.85,2816
3997,1.01,Good,D,SI1,63.8,58.0,6.34,6.38,4.06,5443
3998,0.7,Very Good,F,VS1,62.2,58.0,5.64,5.75,3.54,2889
3999,0.51,Ideal,E,VS2,61.4,57.0,5.13,5.16,3.16,1656
4000,1.7,Ideal,F,VS2,62.3,56.0,7.61,7.65,4.75,17892
4001,0.38,Ideal,G,VS1,62.3,55.0,4.63,4.68,2.9,817
4002,0.36,Premium,H,VS1,60.8,59.0,4.62,4.59,2.8,810
4003,1.01,Ideal,G,SI2,61.5,57.0,6.43,6.45,3.96,4783
4004,1.03,Fair,D,SI2,66.4,56.0,6.31,6.19,4.15,3743
4005,1.21,Premium,D,SI2,59.7,58.0,7.06,6.96,4.19,4946
4006,0.7,Ideal,D,SI2,60.3,56.0,5.77,5.73,3.47,2423
4007,0.54,Ideal,G,SI1,61.5,55.1,5.25,5.27,3.23,1395
4008,0.31,Ideal,G,IF,61.6,54.0,4.36,4.4,2.7,853
4009,2.0,Premium,H,SI2,61.4,59.0,8.07,8.0,4.93,11108
4010,0.54,Ideal,F,VVS2,61.8,55.0,5.27,5.25,3.25,2333
4011,0.34,Ideal,E,SI1,62.2,54.0,4.5,4.47,2.79,714
4012,1.57,Premium,H,VS1,61.7,58.0,7.47,7.56,4.64,10880
4013,0.31,Ideal,F,IF,62.1,55.0,4.34,4.35,2.7,979
4014,0.59,Very Good,I,SI1,62.8,59.0,5.34,5.36,3.36,1109
4015,1.19,Premium,J,VS2,62.8,57.0,6.78,6.7,4.23,4761
4016,1.16,Premium,I,SI2,62.1,58.0,6.78,6.71,4.19,4326
4017,0.5,Good,D,SI1,63.2,57.0,5.02,5.07,3.19,1436
4018,0.54,Ideal,G,VVS2,60.8,56.0,5.31,5.28,3.22,1950
4019,2.07,Ideal,I,SI2,62.0,55.0,8.12,8.22,5.07,16189
4020,1.01,Premium,F,VS2,61.6,59.0,6.39,6.43,3.95,6587
4021,0.4,Ideal,D,VVS2,61.3,56.0,4.78,4.75,2.92,1323
4022,0.31,Ideal,F,VVS1,62.4,57.0,4.32,4.3,2.69,959
4023,0.53,Very Good,D,IF,59.8,60.0,5.22,5.28,3.14,3827
4024,0.41,Premium,G,SI1,61.4,60.0,4.75,4.82,2.94,719
4025,1.12,Very Good,J,SI2,58.5,60.0,6.83,6.89,4.01,4066
4026,1.03,Fair,J,SI2,64.6,62.0,6.3,6.21,4.06,3149
4027,1.11,Premium,D,I1,61.9,58.0,6.63,6.66,4.11,3589
4028,1.07,Premium,J,SI2,62.4,58.0,6.54,6.47,4.06,4105
4029,0.59,Ideal,G,VVS2,61.0,57.0,5.44,5.41,3.31,2131
4030,1.02,Good,J,SI2,63.1,58.0,6.34,6.38,4.01,3298
4031,1.21,Ideal,E,VS2,62.4,54.0,6.86,6.8,4.26,9215
4032,0.78,Ideal,E,SI1,60.4,57.0,5.95,6.0,3.61,3671
4033,0.73,Ideal,E,VVS2,62.0,57.0,5.79,5.73,3.57,3714
4034,0.4,Ideal,D,SI1,62.1,56.0,4.74,4.7,2.93,990
4035,0.53,Good,D,SI2,54.3,65.0,5.46,5.51,2.98,1352
4036,0.34,Ideal,I,VS2,61.5,55.0,4.53,4.55,2.79,495
4037,1.56,Premium,F,SI2,58.8,59.0,7.76,7.61,4.52,7950
4038,0.9,Ideal,D,VS2,61.2,56.0,6.2,6.26,3.81,6689
4039,2.04,Very Good,G,SI2,61.4,58.0,8.04,8.11,4.96,15092
4040,0.5,Premium,E,SI2,60.3,60.0,5.11,5.07,3.07,1286
4041,1.28,Premium,H,SI1,62.7,58.0,6.88,6.94,4.33,6580
4042,0.32,Ideal,G,VVS2,62.2,57.0,4.38,4.36,2.72,936
4043,0.31,Premium,G,VVS1,62.2,59.0,4.32,4.3,2.68,1046
4044,0.71,Ideal,F,SI1,60.9,55.0,5.74,5.88,3.54,2669
4045,0.7,Ideal,I,SI1,61.0,57.0,5.71,5.74,3.5,2287
4046,1.12,Premium,G,SI1,59.8,58.0,6.79,6.76,4.05,5329
4047,0.5,Premium,G,VS1,62.5,58.0,5.07,5.11,3.18,1624
4048,0.9,Very Good,E,SI2,59.9,57.0,6.25,6.34,3.77,4288
4049,1.52,Premium,F,SI1,62.6,59.0,7.27,7.36,4.58,11637
4050,0.38,Ideal,H,VVS2,61.4,57.0,4.65,4.63,2.85,1069
4051,0.56,Ideal,F,VS1,62.7,56.0,5.25,5.3,3.31,1787
4052,0.8,Ideal,G,VS2,61.2,57.0,6.02,6.07,3.7,2969
4053,0.4,Ideal,D,SI1,61.8,55.0,4.78,4.74,2.94,990
4054,1.74,Premium,I,VS2,58.6,59.0,7.99,7.87,4.65,12168
4055,0.71,Very Good,D,VS2,59.7,55.0,5.85,5.88,3.5,3203
4056,0.24,Very Good,F,VVS1,59.0,58.0,4.07,4.1,2.41,552
4057,0.31,Ideal,D,SI1,62.3,54.0,4.33,4.37,2.71,571
4058,1.02,Ideal,H,I1,62.1,56.0,6.45,6.4,3.99,3987
4059,0.56,Ideal,G,IF,61.4,57.0,5.29,5.32,3.26,2442
4060,0.9,Very Good,E,VVS2,62.2,60.0,6.04,6.12,3.78,6289
4061,0.52,Ideal,G,VVS2,62.3,56.0,5.15,5.18,3.22,1906
4062,0.81,Ideal,E,SI2,61.0,56.0,5.99,6.05,3.67,3015
4063,0.72,Premium,D,SI2,60.5,60.0,5.82,5.72,3.49,2429
4064,0.4,Premium,G,IF,60.8,58.0,4.73,4.77,2.89,1333
4065,0.52,Very Good,H,VS1,61.7,55.0,5.15,5.17,3.19,1659
4066,0.26,Very Good,E,VS2,62.8,58.0,4.0,4.06,2.53,601
4067,1.58,Ideal,H,VS1,60.4,57.0,7.55,7.65,4.59,13950
4068,1.0,Fair,G,I1,67.3,57.0,6.26,6.12,4.18,1954
4069,0.33,Ideal,D,VS2,61.1,56.0,4.5,4.54,2.76,822
4070,1.03,Ideal,F,I1,61.0,56.0,6.58,6.52,3.99,3634
4071,0.54,Ideal,G,VS1,61.7,57.0,5.23,5.25,3.23,1726
4072,1.01,Ideal,D,VS2,62.1,58.0,6.4,6.42,3.98,8119
4073,0.91,Premium,H,SI1,61.4,56.0,6.09,5.97,3.7,2763
4074,1.01,Ideal,E,VS2,62.1,56.0,6.41,6.45,3.99,7355
4075,0.7,Good,F,VS2,62.9,61.0,5.6,5.63,3.53,2591
4076,1.51,Good,H,VS2,64.0,59.0,7.25,7.19,4.62,10000
4077,0.83,Good,J,SI1,63.8,58.0,5.97,5.95,3.8,2311
4078,0.31,Premium,H,VVS2,61.4,58.0,4.37,4.32,2.67,802
4079,1.01,Very Good,J,SI2,63.3,53.0,6.35,6.31,4.01,3088
4080,1.25,Premium,H,SI2,60.4,59.0,7.02,6.95,4.22,5950
4081,0.38,Very Good,I,VS1,60.1,60.0,4.66,4.72,2.82,606
4082,0.61,Premium,D,VS1,61.5,58.0,5.46,5.4,3.34,2306
4083,0.5,Premium,D,SI1,61.1,59.0,5.08,5.04,3.09,1610
4084,0.26,Ideal,E,VS1,62.3,57.0,4.05,4.08,2.53,556
4085,0.25,Very Good,E,VVS1,62.3,55.0,4.04,4.06,2.52,633
4086,0.91,Ideal,H,VS2,62.4,56.0,6.2,6.14,3.85,4678
4087,0.56,Ideal,E,SI1,62.7,57.0,5.23,5.27,3.29,1580
4088,0.91,Very Good,F,SI1,60.1,58.0,6.3,6.35,3.8,3879
4089,0.38,Ideal,F,VS2,61.9,55.0,4.69,4.63,2.89,969
4090,0.55,Premium,D,VVS1,60.3,59.0,5.34,5.3,3.21,3006
4091,1.61,Premium,J,SI2,62.2,59.0,7.52,7.47,4.66,7245
4092,0.74,Very Good,E,SI2,63.3,59.0,5.82,5.78,3.67,1632
4093,1.1,Ideal,I,SI1,61.6,55.0,6.66,6.68,4.11,5199
4094,1.14,Ideal,H,VS2,62.6,53.0,6.67,6.72,4.19,6753
4095,0.35,Ideal,G,IF,61.7,55.0,4.52,4.55,2.8,1001
4096,1.05,Ideal,G,SI2,62.3,56.0,6.52,6.58,4.08,4561
4097,0.23,Very Good,E,VS2,60.5,58.0,3.92,3.95,2.38,402
4098,0.33,Premium,D,SI2,61.6,59.0,4.42,4.41,2.72,631
4099,0.78,Good,D,SI1,60.1,61.0,5.92,5.89,3.55,3253
4100,1.01,Good,F,SI2,63.6,59.0,6.37,6.34,4.04,4197
4101,0.31,Ideal,F,IF,61.5,55.0,4.34,4.37,2.68,1061
4102,1.44,Good,G,VS1,63.6,58.0,7.01,6.96,4.44,9677
4103,1.1,Premium,F,SI1,59.5,59.0,6.77,6.7,4.01,5821
4104,0.32,Premium,G,VS2,62.6,59.0,4.36,4.33,2.72,720
4105,0.71,Ideal,D,SI1,61.3,57.0,5.74,5.78,3.53,2690
4106,1.28,Premium,D,SI2,61.2,58.0,7.09,6.96,4.3,6936
4107,0.7,Premium,E,SI2,60.4,59.0,5.75,5.7,3.46,2475
4108,0.32,Ideal,E,VVS1,60.7,55.0,4.42,4.45,2.69,860
4109,1.02,Premium,F,VS2,61.8,56.0,6.54,6.46,4.02,6626
4110,0.32,Very Good,F,VVS1,61.6,56.0,4.37,4.41,2.7,886
4111,0.53,Ideal,D,SI2,61.7,55.0,5.2,5.24,3.22,1243
4112,0.33,Ideal,H,VVS1,62.1,53.0,4.47,4.51,2.79,730
4113,0.72,Ideal,G,VVS2,62.0,55.0,5.72,5.76,3.56,3352
4114,1.51,Ideal,D,SI1,62.3,56.0,7.3,7.4,4.58,12688
4115,0.52,Good,H,VS2,63.7,54.0,5.12,5.09,3.25,1385
4116,0.26,Very Good,F,VS2,62.9,59.0,4.04,4.07,2.55,453
4117,0.53,Ideal,F,VVS2,61.0,57.0,5.23,5.26,3.22,2269
4118,1.12,Premium,G,VS1,58.4,58.0,6.87,6.84,4.0,7338
4119,0.34,Ideal,G,VS2,61.9,55.0,4.53,4.49,2.79,765
4120,2.06,Ideal,I,SI1,61.9,56.0,8.17,8.19,5.06,16626
4121,1.01,Very Good,G,VS2,63.1,55.0,6.38,6.36,4.02,5294
4122,0.51,Ideal,F,VS2,61.0,57.0,5.16,5.11,3.13,1619
4123,0.31,Ideal,E,VS1,60.4,57.0,4.4,4.37,2.65,942
4124,0.44,Ideal,D,VS1,62.3,55.0,4.88,4.84,3.03,1294
4125,1.0,Ideal,H,SI2,62.0,56.0,6.38,6.43,3.97,4649
4126,0.37,Premium,D,VS1,61.9,58.0,4.62,4.56,2.84,1006
4127,0.33,Ideal,G,IF,61.6,55.0,4.48,4.51,2.77,984
4128,0.3,Ideal,G,VS1,59.9,56.0,4.41,4.37,2.63,776
4129,1.11,Premium,H,SI1,62.1,58.0,6.6,6.57,4.09,5102
4130,1.2,Premium,H,SI2,60.8,59.0,6.8,6.75,4.12,4301
4131,0.9,Very Good,G,IF,60.1,59.0,6.22,6.26,3.75,5754
4132,0.3,Good,H,SI2,63.9,56.0,4.24,4.27,2.72,368
4133,0.31,Ideal,F,VS1,61.2,56.0,4.4,4.42,2.7,821
4134,1.04,Premium,H,SI1,60.4,59.0,6.59,6.55,3.97,4368
4135,1.01,Good,G,SI2,63.8,56.0,6.32,6.28,4.02,4327
4136,1.5,Fair,G,SI1,65.5,58.0,7.16,7.12,4.68,8627
4137,0.41,Very Good,G,VVS2,62.9,56.0,4.7,4.74,2.97,1007
4138,0.93,Premium,F,SI2,60.0,60.0,6.36,6.31,3.8,3333
4139,2.03,Good,G,SI2,62.7,65.0,8.17,7.92,5.06,13621
4140,0.51,Ideal,D,VS1,62.1,55.0,5.14,5.2,3.21,1959
4141,0.91,Ideal,J,VS1,60.7,57.0,6.23,6.26,3.79,3267
4142,0.52,Very Good,G,SI1,60.0,57.0,5.25,5.29,3.16,1267
4143,0.7,Good,D,SI2,63.7,58.0,5.64,5.6,3.58,2388
4144,0.41,Ideal,E,VVS2,62.5,57.0,4.71,4.76,2.96,1013
4145,1.5,Very Good,H,SI1,62.9,57.0,7.24,7.28,4.57,8931
4146,0.32,Ideal,D,SI1,60.9,56.0,4.43,4.4,2.69,756
4147,0.71,Very Good,G,VS1,63.3,59.0,5.52,5.61,3.52,2768
4148,1.03,Very Good,G,I1,60.8,57.0,6.51,6.55,3.97,3018
4149,0.36,Ideal,F,VS1,60.1,57.0,4.67,4.62,2.79,1013
4150,0.3,Premium,D,VS2,60.4,59.0,4.32,4.35,2.62,710
4151,1.0,Premium,E,VS2,61.5,58.0,6.39,6.42,3.94,6600
4152,0.71,Fair,G,VS2,57.0,66.0,5.83,5.81,3.32,2623
4153,1.02,Very Good,F,SI2,59.9,62.0,6.5,6.53,3.9,4162
4154,1.22,Very Good,J,VS1,59.0,63.0,7.05,7.02,4.15,5056
4155,0.59,Very Good,H,VVS2,61.1,57.0,5.39,5.48,3.32,1771
4156,0.74,Premium,D,VS2,58.0,59.0,6.0,5.93,3.46,3294
4157,0.54,Very Good,G,SI2,59.5,60.0,5.27,5.31,3.15,1083
4158,1.1,Very Good,I,VS1,60.2,59.0,6.67,6.71,4.03,5082
4159,0.72,Very Good,F,VS2,63.3,57.0,5.69,5.72,3.61,2931
4160,1.51,Premium,I,SI1,62.6,60.0,7.34,7.27,4.57,8794
4161,0.51,Ideal,D,SI1,61.7,55.0,5.16,5.11,3.17,1687
4162,0.33,Ideal,H,VS2,60.6,56.0,4.51,4.54,2.74,539
4163,0.7,Very Good,F,VS2,62.8,58.0,5.6,5.64,3.53,2552
4164,0.45,Ideal,G,SI1,62.0,54.0,4.95,4.98,3.08,852
4165,0.9,Good,H,VS1,64.0,59.0,6.01,6.05,3.86,3734
4166,0.5,Premium,G,VS1,62.5,60.0,5.13,5.08,3.19,1583
4167,0.52,Ideal,E,VS2,61.3,54.0,5.21,5.2,3.19,1646
4168,0.55,Ideal,F,VS1,61.4,55.0,5.28,5.24,3.23,1901
4169,0.34,Premium,F,SI1,59.8,58.0,4.53,4.57,2.72,566
4170,2.0,Very Good,I,SI2,63.7,61.0,7.85,7.97,5.04,12221
4171,0.9,Premium,E,SI1,59.8,55.0,6.34,6.3,3.78,4385
4172,0.51,Premium,E,VS1,61.3,58.0,5.17,5.14,3.16,1928
4173,1.02,Very Good,F,SI1,63.2,59.0,6.38,6.35,4.02,5398
4174,1.24,Premium,D,SI2,61.0,59.0,6.93,6.97,4.24,5311
4175,0.32,Ideal,I,VS2,63.0,56.0,4.42,4.38,2.77,576
4176,1.06,Premium,G,SI1,61.5,59.0,6.57,6.53,4.03,5113
4177,2.2,Good,H,SI2,63.6,58.0,8.21,8.17,5.21,13919
4178,0.55,Ideal,E,SI1,60.1,57.0,5.36,5.38,3.22,1621
4179,1.34,Very Good,H,VS2,61.4,58.0,7.13,7.07,4.36,7965
4180,0.92,Premium,E,SI1,59.4,62.0,6.3,6.24,3.73,4183
4181,0.31,Ideal,E,VS2,61.8,55.0,4.33,4.35,2.68,680
4182,0.31,Good,J,SI1,63.5,55.0,4.3,4.33,2.74,363
4183,0.73,Premium,H,SI2,61.2,59.0,5.83,5.77,3.55,1699
4184,1.22,Ideal,G,IF,61.7,56.0,6.87,6.91,4.25,11111
4185,0.91,Very Good,H,SI2,58.4,63.0,6.29,6.24,3.66,3408
4186,0.72,Very Good,E,SI1,62.9,54.0,5.72,5.76,3.61,2567
4187,0.52,Ideal,E,SI1,62.1,57.0,5.1,5.14,3.18,1389
4188,0.4,Good,E,SI2,63.9,57.0,4.65,4.71,2.99,622
4189,1.01,Premium,G,SI1,62.6,60.0,6.39,6.35,3.99,4338
4190,0.52,Premium,F,SI2,62.7,57.0,5.11,5.07,3.19,1073
4191,0.33,Premium,E,SI1,62.2,59.0,4.43,4.41,2.75,743
4192,0.54,Ideal,E,SI2,60.4,57.0,5.27,5.3,3.19,1266
4193,0.31,Ideal,D,SI2,62.1,57.0,4.34,4.32,2.69,593
4194,1.07,Ideal,I,SI1,61.7,56.0,6.59,6.57,4.06,5093
4195,1.16,Very Good,G,VVS2,61.6,58.0,6.67,6.73,4.13,9205
4196,0.24,Very Good,E,VVS1,61.7,58.0,3.94,4.0,2.45,485
4197,1.73,Premium,G,VVS2,62.6,55.0,7.76,7.66,4.83,18377
4198,0.31,Very Good,I,VVS2,62.5,55.0,4.33,4.36,2.71,551
4199,0.7,Ideal,D,VS1,62.9,57.0,5.67,5.61,3.55,3229
4200,0.51,Premium,J,VS2,61.5,58.0,5.14,5.1,3.15,1020
4201,0.36,Premium,G,SI2,59.3,59.0,4.62,4.66,2.75,473
4202,0.55,Ideal,G,VVS2,62.3,53.0,5.27,5.29,3.29,1799
4203,0.92,Very Good,E,SI1,63.0,57.0,6.17,6.21,3.9,4254
4204,0.51,Premium,E,VS2,61.3,58.0,5.13,5.15,3.15,1656
4205,0.4,Ideal,D,VS2,60.4,56.0,4.77,4.73,2.87,1050
4206,1.55,Very Good,E,SI1,60.1,58.0,7.5,7.55,4.52,11764
4207,0.53,Ideal,E,VS2,61.5,56.0,5.18,5.23,3.2,1676
4208,1.6,Premium,I,SI1,60.3,59.0,7.56,7.61,4.57,8808
4209,0.76,Premium,E,VS2,60.1,59.0,6.01,5.97,3.6,3192
4210,0.72,Ideal,F,SI1,61.2,55.0,5.78,5.82,3.55,2737
4211,0.61,Ideal,G,VS1,61.8,56.0,5.43,5.48,3.37,2041
4212,0.7,Premium,F,VS1,59.0,59.0,5.79,5.77,3.41,2874
4213,2.18,Ideal,I,VS2,62.0,57.0,8.35,8.24,5.14,13769
4214,0.71,Very Good,J,SI1,62.8,57.0,5.64,5.67,3.55,1841
4215,0.84,Very Good,D,SI1,59.9,54.0,6.2,6.23,3.72,4205
4216,0.31,Very Good,G,VVS1,58.8,59.0,4.44,4.47,2.62,778
4217,0.7,Premium,G,SI2,61.0,58.0,5.75,5.72,3.5,1875
4218,0.9,Premium,D,SI1,62.7,58.0,6.09,6.15,3.84,4381
4219,0.3,Ideal,E,VVS1,62.2,57.0,4.28,4.31,2.67,862
4220,1.51,Ideal,D,SI1,62.0,56.0,7.35,7.39,4.57,13162
4221,0.32,Very Good,D,VVS1,61.9,54.0,4.42,4.46,2.75,983
4222,0.7,Premium,H,SI1,62.0,58.0,5.65,5.71,3.52,2155
4223,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,10639
4224,0.3,Good,E,VVS1,63.5,57.0,4.23,4.27,2.7,775
4225,0.28,Very Good,E,VS1,59.5,59.0,4.29,4.35,2.57,487
4226,2.01,Very Good,I,SI1,61.7,60.0,7.99,8.12,4.97,13464
4227,0.39,Ideal,I,VS2,61.5,55.0,4.7,4.73,2.9,651
4228,1.25,Premium,J,VS2,62.2,59.0,6.88,6.86,4.27,5396
4229,0.47,Good,E,SI2,56.5,62.0,5.17,5.09,2.9,844
4230,0.7,Premium,F,SI2,58.4,61.0,5.86,5.79,3.4,1966
4231,0.54,Ideal,I,VS2,60.1,58.0,5.28,5.34,3.19,1266
4232,0.31,Very Good,E,IF,61.6,54.0,4.38,4.42,2.71,958
4233,0.31,Ideal,E,VS2,61.5,55.0,4.37,4.41,2.7,680
