id,carat,cut,color,clarity,depth,table,x,y,z
2632,0.52,Ideal,G,SI1,60.4,57.0,5.23,5.27,3.17
2633,1.1,Ideal,G,SI2,62.1,56.0,6.63,6.61,4.11
2634,1.5,Good,G,SI1,64.2,58.0,7.14,7.2,4.6
2635,0.51,Ideal,H,SI1,62.1,55.0,5.17,5.15,3.2
2636,1.51,Ideal,J,SI1,62.6,54.0,7.26,7.35,4.57
2637,1.21,Very Good,F,VS2,63.3,58.0,6.73,6.67,4.24
2638,0.56,Premium,E,VS2,61.9,55.0,5.31,5.25,3.27
2639,0.27,Ideal,G,IF,61.2,57.0,4.17,4.2,2.56
2640,0.87,Premium,D,VS2,59.9,59.0,6.2,6.16,3.7
2641,0.46,Very Good,D,VS2,61.2,57.0,4.96,5.0,3.05
2642,0.73,Very Good,D,VS2,60.5,59.0,5.76,5.84,3.51
2643,1.5,Ideal,E,SI1,62.3,57.0,7.33,7.28,4.55
2644,0.3,Good,D,SI2,63.2,57.0,4.21,4.24,2.67
2645,0.25,Ideal,F,VVS1,61.3,58.0,4.04,4.08,2.49
2646,1.46,Fair,H,SI2,56.3,60.0,7.61,7.55,4.27
2647,0.5,Premium,F,VS2,61.1,60.0,5.12,5.1,3.12
2648,1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65
2649,0.77,Ideal,J,VS2,61.4,55.0,5.9,5.95,3.64
2650,1.0,Very Good,G,VS2,62.8,62.0,6.28,6.33,3.96
2651,0.9,Ideal,E,SI1,61.7,56.0,6.16,6.23,3.82
2652,1.27,Ideal,G,VS1,59.6,57.0,7.09,7.06,4.22
2653,0.44,Ideal,E,SI1,62.6,56.0,4.9,4.84,3.05
2654,0.44,Good,E,VS2,62.2,62.0,4.79,4.85,3.0
2655,1.0,Ideal,E,SI2,62.9,56.0,6.32,6.3,3.97
2656,0.52,Very Good,F,SI1,61.9,58.0,5.1,5.15,3.17
2657,0.9,Ideal,E,VS1,61.7,56.0,6.19,6.22,3.83
2658,0.71,Premium,G,VS1,60.9,58.0,5.77,5.73,3.5
2659,0.31,Ideal,F,VVS1,62.4,55.0,4.33,4.36,2.71
2660,1.2,Ideal,I,I1,61.9,56.0,6.85,6.82,4.23
2661,0.33,Good,I,VVS2,63.7,56.0,4.36,4.4,2.79
2662,0.42,Ideal,G,IF,62.6,53.0,4.79,4.82,3.01
2663,1.13,Ideal,F,VS1,61.1,56.0,6.7,6.79,4.12
2664,1.11,Very Good,H,SI1,62.0,55.0,6.61,6.68,4.12
2665,0.39,Premium,F,VS2,58.4,62.0,4.79,4.76,2.79
2666,0.7,Very Good,E,SI1,63.2,61.0,5.61,5.49,3.51
2667,0.37,Premium,G,VS2,61.3,60.0,4.63,4.6,2.83
2668,1.01,Good,F,VS2,63.1,56.0,6.28,6.37,3.99
2669,0.54,Ideal,G,VS1,61.9,54.0,5.25,5.28,3.26
2670,0.32,Premium,F,VS2,59.5,60.0,4.48,4.46,2.66
2671,1.24,Ideal,D,SI1,60.4,57.0,6.95,7.02,4.22
2672,0.75,Very Good,E,VS2,62.3,56.0,5.79,5.84,3.62
2673,1.24,Ideal,H,VS2,61.4,57.0,6.92,6.88,4.24
2674,0.34,Ideal,D,VS2,62.1,55.0,4.46,4.49,2.78
2675,1.22,Premium,G,SI1,61.8,58.0,6.88,6.82,4.23
2676,1.01,Very Good,H,SI1,63.4,58.0,6.41,6.37,4.05
2677,0.3,Ideal,G,SI1,62.0,55.0,4.28,4.3,2.66
2678,0.83,Ideal,E,SI2,62.2,57.0,6.0,6.05,3.75
2679,0.54,Ideal,G,VVS2,61.0,56.0,5.3,5.25,3.22
2680,1.0,Fair,D,VVS1,56.7,68.0,6.66,6.64,3.77
2681,0.56,Ideal,F,VVS2,61.9,56.0,5.29,5.32,3.28
2682,0.4,Ideal,F,VS1,61.8,55.0,4.76,4.78,2.95
2683,1.0,Premium,D,SI2,60.3,58.0,6.48,6.45,3.9
2684,0.43,Very Good,G,VS2,62.4,56.0,4.84,4.87,3.02
2685,0.41,Ideal,G,IF,62.4,54.0,4.78,4.74,2.97
2686,0.9,Good,H,SI1,61.4,60.0,6.06,6.12,3.74
2687,0.71,Premium,G,VS2,59.9,60.0,5.81,5.77,3.47
2688,2.01,Premium,I,SI1,61.3,60.0,8.09,8.05,4.95
2689,0.43,Premium,F,SI1,61.3,60.0,4.83,4.86,2.97
2690,0.7,Very Good,D,VS2,63.2,60.0,5.61,5.56,3.53
2691,1.5,Very Good,G,SI1,63.1,59.0,7.22,7.27,4.57
2692,0.33,Ideal,E,VS1,60.0,57.0,4.5,4.47,2.69
2693,0.7,Very Good,F,SI2,59.9,59.0,5.75,5.81,3.46
2694,0.36,Premium,E,VS1,61.5,59.0,4.6,4.57,2.82
2695,1.11,Very Good,F,VS1,60.7,55.0,6.69,6.71,4.07
2696,0.5,Fair,E,SI2,59.8,66.0,5.18,5.09,3.07
2697,0.72,Ideal,G,VS1,61.7,56.0,5.75,5.78,3.56
2698,1.2,Premium,F,SI2,62.6,58.0,6.79,6.73,4.23
2699,0.55,Ideal,E,SI1,61.6,56.0,5.26,5.28,3.25
2700,0.3,Good,G,VVS2,63.1,56.0,4.2,4.23,2.66
2701,0.41,Very Good,E,SI2,62.9,58.0,4.72,4.75,2.98
2702,1.0,Very Good,F,SI1,61.4,60.0,6.35,6.38,3.91
2703,1.01,Ideal,I,SI1,61.2,56.0,6.48,6.51,3.97
2704,1.18,Premium,I,VS1,62.1,58.0,6.76,6.7,4.18
2705,1.19,Premium,I,VS2,59.3,59.0,6.98,6.88,4.11
2706,0.92,Premium,I,VS2,60.9,58.0,6.28,6.27,3.82
2707,0.54,Ideal,D,SI1,61.5,56.0,5.25,5.23,3.22
2708,0.62,Good,J,SI1,59.9,65.0,5.58,5.5,3.32
2709,0.51,Good,D,SI2,64.2,56.0,5.02,5.05,3.23
2710,1.52,Premium,H,VS1,60.6,58.0,7.46,7.39,4.5
2711,0.72,Ideal,G,VVS2,62.4,57.0,5.71,5.76,3.58
2712,1.0,Premium,G,VS2,59.3,60.0,6.55,6.51,3.87
2713,1.04,Ideal,H,SI2,62.0,57.0,6.53,6.43,4.02
2714,1.01,Premium,G,VS1,62.7,58.0,6.31,6.36,3.97
2715,0.7,Ideal,I,SI1,61.9,58.0,5.67,5.7,3.52
2716,0.76,Ideal,E,SI2,61.5,57.0,5.83,5.87,3.6
2717,0.34,Ideal,G,VS2,61.5,55.0,4.5,4.47,2.76
2718,0.33,Very Good,J,VVS2,62.1,56.0,4.44,4.45,2.76
2719,0.51,Very Good,D,VS2,60.5,60.0,5.16,5.19,3.13
2720,1.23,Ideal,G,VS1,61.2,56.0,6.92,6.98,4.25
2721,0.3,Ideal,E,SI1,61.6,54.0,4.32,4.35,2.67
2722,0.51,Ideal,E,VS2,61.9,56.0,5.12,5.16,3.18
2723,1.51,Ideal,I,SI1,62.2,56.0,7.36,7.27,4.55
2724,0.52,Good,G,VS1,63.3,55.0,5.09,5.12,3.23
2725,0.9,Premium,F,SI2,61.6,58.0,6.23,6.15,3.81
2726,1.06,Ideal,I,SI2,61.3,56.0,6.59,6.55,4.03
2727,0.5,Premium,G,VVS2,60.9,59.0,5.09,5.12,3.11
2728,2.18,Ideal,I,SI2,62.5,55.0,8.31,8.34,5.2
2729,0.7,Very Good,E,VS2,61.7,60.0,5.67,5.7,3.51
2730,0.61,Ideal,E,VS1,62.2,56.0,5.43,5.41,3.37
2731,1.22,Ideal,F,SI2,62.5,56.0,6.85,6.81,4.27
2732,0.92,Very Good,E,SI1,63.2,58.0,6.18,6.16,3.9
2733,1.1,Premium,I,SI2,59.3,62.0,6.75,6.7,3.99
2734,1.01,Ideal,H,SI2,62.0,57.0,6.4,6.43,3.98
2735,0.3,Ideal,G,IF,62.1,54.0,4.3,4.33,2.68
2736,0.31,Ideal,D,VS2,62.1,55.0,4.32,4.31,2.68
2737,1.09,Ideal,E,VS2,62.1,57.0,6.62,6.56,4.09
2738,0.35,Ideal,F,VS1,62.4,57.0,4.52,4.49,2.81
2739,0.91,Very Good,I,SI2,62.8,61.0,6.15,6.18,3.87
2740,0.56,Good,E,VS2,62.3,63.0,5.22,5.27,3.27
2741,0.76,Very Good,G,VVS2,62.3,57.0,5.79,5.84,3.62
2742,0.31,Premium,E,VS2,62.6,58.0,4.29,4.33,2.7
2743,1.5,Premium,E,SI2,62.7,59.0,7.3,7.22,4.55
2744,0.31,Ideal,D,IF,60.5,57.0,4.39,4.41,2.66
2745,0.42,Ideal,G,VVS1,61.6,55.0,4.85,4.82,2.98
2746,0.51,Premium,F,VVS2,61.2,59.0,5.19,5.1,3.15
2747,0.3,Very Good,G,VVS2,62.9,55.0,4.24,4.28,2.68
2748,0.54,Ideal,F,SI1,61.6,55.0,5.24,5.28,3.24
2749,1.3,Ideal,G,IF,62.3,56.0,6.95,6.99,4.34
2750,0.39,Ideal,F,SI1,61.3,56.0,4.73,4.77,2.91
2751,0.33,Ideal,F,IF,61.2,56.0,4.47,4.49,2.74
2752,0.31,Ideal,H,VS2,61.2,59.0,4.36,4.4,2.68
2753,1.0,Good,G,VS2,63.4,61.0,6.23,6.29,3.97
2754,0.32,Good,E,SI1,63.3,56.0,4.34,4.35,2.75
2755,0.91,Fair,J,VS2,64.4,62.0,6.06,6.03,3.89
2756,1.5,Ideal,F,VS2,60.4,57.0,7.41,7.43,4.48
2757,0.9,Good,E,VS2,63.7,58.0,6.06,6.09,3.87
2758,0.31,Good,G,VS2,63.5,58.0,4.22,4.29,2.7
2759,0.33,Ideal,F,VVS1,62.5,54.0,4.43,4.46,2.78
2760,1.0,Good,F,SI2,60.2,65.0,6.38,6.41,3.85
2761,0.7,Premium,E,VS2,62.6,56.0,5.71,5.66,3.56
2762,1.51,Premium,I,SI1,61.8,60.0,7.23,7.3,4.49
2763,1.01,Very Good,E,SI1,62.9,58.0,6.35,6.41,4.01
2764,0.75,Very Good,F,SI2,60.5,57.0,5.88,5.95,3.58
2765,0.31,Very Good,F,SI1,58.8,59.0,4.44,4.5,2.63
2766,0.3,Ideal,E,VS2,62.1,55.0,4.32,4.35,2.69
2767,0.37,Good,E,VS1,62.8,65.0,4.51,4.54,2.84
2768,0.7,Premium,E,SI2,59.8,61.0,5.76,5.74,3.44
2769,1.5,Premium,F,SI2,58.5,60.0,7.52,7.48,4.39
2770,0.44,Ideal,G,VVS1,61.8,55.0,4.86,4.91,3.02
2771,1.5,Very Good,I,VVS2,63.3,58.0,7.24,7.21,4.57
2772,0.32,Ideal,E,IF,61.2,57.0,4.4,4.43,2.7
2773,0.24,Ideal,H,VVS1,61.5,55.0,3.99,4.02,2.46
2774,0.38,Ideal,J,VS2,62.1,54.0,4.65,4.69,2.9
2775,0.7,Premium,G,VS1,62.6,60.0,5.58,5.66,3.52
2776,0.5,Very Good,F,VVS2,62.7,56.0,5.08,5.03,3.17
2777,1.0,Premium,J,SI2,62.7,58.0,6.32,6.28,3.95
2778,1.03,Fair,I,SI2,65.2,56.0,6.42,6.35,4.16
2779,0.34,Premium,G,VS2,61.0,58.0,4.46,4.49,2.73
2780,1.23,Premium,J,SI1,61.9,54.0,6.89,6.86,4.26
2781,0.45,Premium,I,SI2,60.1,59.0,4.96,4.92,3.02
2782,0.23,Very Good,E,VVS2,64.1,58.0,3.85,3.89,2.48
2783,1.01,Very Good,E,SI1,62.4,58.0,6.36,6.4,3.99
2784,1.13,Ideal,I,VVS1,61.6,57.0,6.67,6.75,4.12
2785,0.23,Ideal,F,VVS2,62.3,56.0,3.95,4.01,2.48
2786,0.57,Premium,G,VS2,59.7,59.0,5.37,5.41,3.22
2787,1.02,Very Good,F,SI1,60.9,57.0,6.52,6.56,3.98
2788,0.9,Very Good,H,SI1,63.4,58.0,6.16,6.11,3.89
2789,0.4,Premium,F,VS1,61.1,59.0,4.71,4.75,2.89
2790,1.09,Ideal,I,VS1,61.4,56.0,6.61,6.66,4.07
2791,0.3,Premium,E,SI1,62.7,60.0,4.28,4.24,2.67
2792,0.72,Ideal,F,SI2,61.7,55.0,5.79,5.75,3.56
2793,0.3,Ideal,F,IF,60.7,56.0,4.35,4.38,2.65
2794,1.05,Very Good,E,SI1,59.7,57.0,6.63,6.71,3.98
2795,0.33,Premium,I,VVS2,62.1,56.0,4.45,4.41,2.75
2796,0.4,Premium,D,SI2,61.9,58.0,4.73,4.71,2.92
2797,1.01,Premium,E,I1,59.8,58.0,6.57,6.53,3.92
2798,0.51,Ideal,F,VVS2,62.4,57.0,5.12,5.08,3.18
2799,0.7,Very Good,F,SI1,61.4,57.0,5.73,5.77,3.53
2800,0.31,Premium,F,VS2,58.3,61.0,4.48,4.44,2.6
2801,0.6,Ideal,F,VS2,58.6,60.0,5.54,5.62,3.27
2802,0.94,Premium,H,VS2,60.1,59.0,6.32,6.35,3.81
2803,0.3,Ideal,J,IF,61.5,56.0,4.32,4.33,2.66
2804,0.96,Fair,F,I1,62.9,66.0,6.29,6.07,3.91
2805,1.01,Good,F,VS2,63.9,58.0,6.32,6.39,4.06
2806,0.58,Fair,D,SI2,65.1,58.0,5.25,5.22,3.41
2807,0.9,Premium,F,VS1,59.0,58.0,6.33,6.29,3.72
2808,0.43,Premium,E,SI2,60.8,58.0,4.86,4.88,2.96
2809,0.4,Premium,F,VS1,61.4,58.0,4.73,4.75,2.91
2810,0.55,Ideal,G,SI1,61.3,56.0,5.26,5.31,3.24
2811,0.42,Ideal,F,SI1,60.8,54.0,4.83,4.94,2.97
2812,1.0,Fair,H,VS2,66.8,63.0,6.19,6.08,4.1
2813,1.27,Premium,D,SI1,62.5,58.0,6.92,6.87,4.31
2814,0.9,Ideal,D,SI1,62.4,55.0,6.15,6.19,3.85
2815,0.3,Premium,I,VS1,60.3,58.0,4.34,4.32,2.61
2816,0.31,Ideal,G,VVS2,62.0,56.0,4.35,4.33,2.69
2817,0.36,Premium,J,SI1,61.6,60.0,4.54,4.58,2.81
2818,0.32,Premium,D,SI1,61.3,60.0,4.43,4.41,2.71
2819,0.9,Good,G,VVS2,62.6,58.0,6.1,6.13,3.83
2820,0.31,Ideal,E,VS1,61.2,55.0,4.42,4.4,2.7
2821,0.52,Premium,G,VVS2,61.5,62.0,5.17,5.14,3.17
2822,0.32,Premium,H,VS2,61.0,60.0,4.35,4.41,2.67
2823,0.31,Premium,I,SI1,59.6,58.0,4.44,4.39,2.63
2824,0.72,Premium,G,VVS2,60.7,60.0,5.87,5.8,3.54
2825,0.31,Good,D,SI1,63.4,55.0,4.28,4.3,2.72
2826,0.39,Very Good,H,VS2,63.1,58.0,4.66,4.63,2.93
2827,0.49,Ideal,G,VS2,61.1,57.0,5.12,5.09,3.12
2828,1.04,Very Good,I,SI1,62.0,57.0,6.47,6.5,4.02
2829,0.5,Premium,F,VS2,60.9,58.0,5.1,5.14,3.12
2830,0.9,Very Good,D,VS1,59.1,60.0,6.24,6.28,3.7
2831,0.41,Premium,H,SI2,60.9,60.0,4.84,4.81,2.94
2832,1.01,Good,G,VVS2,63.1,56.0,6.34,6.4,4.02
2833,0.73,Premium,E,VS1,62.6,60.0,5.75,5.68,3.58
2834,0.37,Premium,E,VS2,61.0,59.0,4.59,4.63,2.81
2835,0.41,Ideal,G,VVS1,62.0,56.0,4.78,4.8,2.97
2836,1.01,Premium,J,SI2,63.0,60.0,6.38,6.31,4.0
2837,0.95,Ideal,H,SI2,59.3,59.0,6.42,6.46,3.82
2838,0.3,Very Good,G,IF,58.4,62.0,4.4,4.43,2.58
2839,0.34,Premium,H,VS2,62.6,60.0,4.46,4.42,2.78
2840,0.52,Ideal,G,VVS2,61.5,56.0,5.2,5.18,3.19
2841,1.01,Premium,E,SI1,59.0,59.0,6.6,6.56,3.88
2842,0.42,Ideal,E,SI1,62.6,57.0,4.81,4.84,3.02
2843,0.58,Very Good,G,SI1,59.3,58.0,5.41,5.52,3.24
2844,1.5,Premium,H,VS1,59.3,61.0,7.53,7.47,4.45
2845,0.26,Ideal,H,SI2,62.5,53.0,4.09,4.13,2.57
2846,0.5,Fair,H,SI1,64.9,54.0,5.01,4.98,3.24
2847,0.5,Ideal,E,VS2,62.2,54.0,5.11,5.08,3.17
2848,0.41,Ideal,D,VS1,61.0,57.0,4.78,4.82,2.93
2849,1.63,Very Good,G,VS2,62.5,57.0,7.46,7.49,4.67
2850,0.39,Premium,D,VS2,61.3,58.0,4.73,4.7,2.89
2851,1.04,Ideal,F,VS1,61.4,57.0,6.51,6.56,4.01
2852,1.5,Good,G,VS2,63.3,62.0,7.08,7.2,4.52
2853,0.32,Ideal,E,VVS1,61.2,55.0,4.4,4.45,2.71
2854,0.33,Ideal,J,VS1,62.1,55.0,4.41,4.44,2.75
2855,0.3,Ideal,G,IF,61.7,53.0,4.33,4.36,2.68
2856,1.56,Good,F,SI2,57.5,58.0,7.82,7.67,4.45
2857,0.42,Very Good,D,SI2,62.0,59.0,4.78,4.83,2.98
2858,1.1,Ideal,G,VS1,61.5,57.0,6.62,6.65,4.08
2859,0.71,Premium,G,SI2,60.8,60.0,5.74,5.78,3.5
2860,2.01,Very Good,I,SI1,62.8,60.0,7.99,8.04,5.03
2861,1.56,Very Good,F,SI1,61.0,58.0,7.41,7.48,4.54
2862,1.75,Ideal,G,SI2,61.6,54.8,7.73,7.78,4.78
2863,1.31,Ideal,I,VS2,61.7,55.0,7.0,7.1,4.35
2864,0.7,Good,I,SI1,62.8,59.0,5.59,5.65,3.53
2865,2.02,Very Good,H,SI2,62.7,59.0,8.04,7.98,5.02
2866,0.71,Ideal,D,VS2,60.9,56.0,5.76,5.79,3.52
2867,0.77,Ideal,G,SI2,60.3,56.0,5.96,5.92,3.58
2868,0.32,Ideal,E,VVS1,61.9,55.0,4.41,4.38,2.72
2869,0.84,Ideal,G,SI2,62.3,55.0,6.08,6.03,3.77
2870,2.01,Good,D,SI2,59.9,65.0,8.0,8.07,4.81
2871,0.73,Premium,E,VS1,60.9,61.0,5.81,5.79,3.53
2872,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53
2873,0.45,Ideal,I,VS1,61.9,54.0,4.95,4.97,3.07
2874,0.33,Very Good,G,VS2,62.1,56.0,4.41,4.44,2.75
2875,0.37,Premium,E,VS2,60.2,58.0,4.68,4.65,2.81
2876,0.81,Good,I,VS2,63.8,58.0,5.89,5.84,3.74
2877,0.61,Very Good,I,IF,60.2,57.0,5.49,5.58,3.33
2878,0.53,Very Good,I,SI1,59.7,63.0,5.22,5.3,3.14
2879,0.56,Ideal,H,IF,60.4,57.0,5.35,5.39,3.24
2880,0.71,Ideal,E,VVS2,61.7,56.0,5.78,5.8,3.57
2881,0.42,Ideal,G,VVS2,62.6,55.0,4.77,4.78,2.99
2882,0.75,Premium,D,SI2,60.3,61.0,5.88,5.86,3.54
2883,1.52,Ideal,G,VVS1,61.4,57.0,7.4,7.38,4.54
2884,1.13,Ideal,H,SI2,62.0,57.0,6.74,6.64,4.15
2885,0.28,Ideal,F,VS2,61.8,54.0,4.18,4.23,2.6
2886,2.01,Very Good,I,VVS2,63.5,58.0,7.92,7.82,5.0
2887,0.52,Ideal,G,VS1,61.7,57.0,5.16,5.18,3.19
2888,0.67,Very Good,E,SI2,63.1,58.0,5.62,5.53,3.53
2889,2.0,Premium,D,SI2,61.6,59.0,8.2,8.09,5.02
2890,0.3,Ideal,F,VS2,62.2,55.0,4.3,4.32,2.68
2891,0.31,Ideal,G,IF,61.6,55.0,4.35,4.38,2.69
2892,1.44,Premium,I,I1,62.7,55.0,7.21,7.18,4.51
2893,0.33,Ideal,D,VS2,62.6,56.0,4.39,4.43,2.76
2894,0.37,Premium,J,VS2,61.1,60.0,4.63,4.6,2.82
2895,0.3,Ideal,G,VS2,62.0,54.0,4.33,4.35,2.69
2896,0.31,Good,F,VVS2,63.6,55.0,4.29,4.33,2.74
2897,1.05,Premium,F,SI1,61.6,57.0,6.56,6.53,4.03
2898,2.01,Very Good,H,SI2,63.3,60.0,7.84,7.77,4.94
2899,0.5,Ideal,E,SI2,60.7,56.0,5.16,5.19,3.14
2900,0.31,Ideal,I,IF,61.3,57.0,4.4,4.34,2.68
2901,0.31,Premium,G,VVS2,60.5,58.0,4.39,4.43,2.67
2902,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64
2903,0.59,Very Good,G,VS1,57.4,63.0,5.54,5.58,3.19
2904,0.88,Ideal,F,SI1,62.3,53.0,6.12,6.15,3.82
2905,0.4,Ideal,F,VVS1,61.3,56.0,4.73,4.76,2.91
2906,1.5,Very Good,H,VS2,61.6,55.0,7.37,7.43,4.56
2907,1.04,Ideal,G,SI2,60.7,57.0,6.61,6.51,3.98
2908,0.74,Ideal,F,VVS2,61.5,55.0,5.85,5.82,3.59
2909,0.32,Very Good,G,VS2,62.6,58.0,4.37,4.39,2.74
2910,0.31,Premium,E,VVS1,61.5,58.0,4.37,4.35,2.68
2911,1.0,Very Good,E,SI1,60.1,60.0,6.45,6.49,3.89
2912,1.01,Very Good,I,SI1,63.2,55.0,6.4,6.32,4.02
2913,2.01,Fair,I,I1,55.9,64.0,8.48,8.39,4.71
2914,0.33,Very Good,I,VS1,59.9,62.0,4.48,4.57,2.71
2915,1.27,Very Good,I,VS2,62.6,59.0,6.86,6.95,4.32
2916,0.52,Ideal,D,SI1,60.9,57.0,5.21,5.17,3.16
2917,0.71,Ideal,G,VS2,62.5,57.0,5.72,5.68,3.56
2918,0.51,Ideal,G,VVS1,61.0,57.0,5.17,5.16,3.15
2919,0.41,Very Good,H,VS1,62.8,59.0,4.73,4.64,2.94
2920,0.47,Ideal,E,VS2,61.7,56.0,5.01,4.98,3.08
2921,0.72,Very Good,G,SI2,60.6,57.0,5.79,5.86,3.53
2922,0.37,Premium,F,VS2,61.0,58.0,4.63,4.61,2.82
2923,2.01,Fair,H,SI2,65.3,56.0,7.95,7.86,5.16
2924,0.23,Very Good,G,VVS2,62.8,55.0,3.93,3.95,2.47
2925,0.3,Ideal,F,VS1,61.9,56.0,4.3,4.32,2.67
2926,0.42,Ideal,F,SI1,61.5,55.0,4.82,4.84,2.97
2927,1.2,Very Good,F,VVS2,61.4,60.0,6.79,6.83,4.18
2928,1.01,Premium,E,SI2,60.4,57.0,6.53,6.49,3.93
2929,0.32,Ideal,G,VS1,61.2,57.0,4.43,4.4,2.7
2930,0.34,Very Good,G,IF,59.4,56.0,4.59,4.63,2.74
2931,0.72,Ideal,G,VS1,61.0,55.0,5.81,5.83,3.55
2932,0.71,Good,I,VS2,64.0,59.0,5.55,5.61,3.57
2933,1.21,Good,H,VS1,59.5,65.0,6.88,6.84,4.08
2934,0.55,Ideal,E,VS1,61.2,54.0,5.3,5.32,3.25
2935,2.02,Premium,I,SI1,62.5,59.0,8.05,8.01,5.02
2936,0.9,Good,F,SI1,62.5,59.0,6.1,6.13,3.82
2937,1.0,Very Good,D,VS2,62.6,58.0,6.31,6.38,3.97
2938,1.01,Fair,D,SI1,66.3,55.0,6.22,6.17,4.11
2939,1.26,Ideal,G,VS1,61.6,56.0,7.03,6.96,4.31
2940,1.01,Very Good,H,SI1,62.5,58.0,6.37,6.42,4.0
2941,0.64,Ideal,F,VS2,62.3,56.0,5.51,5.53,3.44
2942,0.32,Ideal,F,VS1,61.2,56.2,4.41,4.44,2.71
2943,0.41,Ideal,H,IF,61.8,55.0,4.79,4.76,2.95
2944,0.31,Premium,E,VS2,61.0,58.0,4.37,4.39,2.67
2945,1.01,Very Good,J,SI1,61.3,57.0,6.45,6.5,3.97
2946,1.06,Ideal,G,VS1,61.7,55.0,6.53,6.56,4.04
2947,0.4,Very Good,E,VVS2,61.4,56.0,4.74,4.81,2.93
2948,0.24,Very Good,G,VVS2,62.0,57.0,4.0,4.03,2.49
2949,1.01,Premium,F,SI2,61.8,59.0,6.41,6.31,3.93
2950,0.4,Good,I,VVS1,63.5,57.0,4.65,4.68,2.96
2951,0.52,Premium,F,VS2,60.2,59.0,5.19,5.21,3.13
2952,0.5,Premium,G,SI2,61.9,58.0,5.12,5.09,3.16
2953,0.71,Very Good,D,SI1,60.9,60.0,5.71,5.76,3.49
2954,1.54,Good,I,VS1,63.6,60.0,7.33,7.3,4.65
2955,1.51,Good,I,VS1,65.9,56.0,7.02,7.09,4.65
2956,0.54,Ideal,H,VVS1,61.7,57.0,5.23,5.24,3.23
2957,0.99,Very Good,D,SI2,62.5,57.0,6.3,6.34,3.95
2958,1.51,Very Good,G,VS2,63.5,59.0,7.2,7.13,4.55
2959,0.35,Ideal,D,SI1,62.7,56.0,4.51,4.49,2.82
2960,1.01,Premium,H,SI2,59.9,59.0,6.55,6.48,3.9
2961,0.4,Ideal,D,VS2,60.8,59.0,4.71,4.76,2.88
2962,1.31,Very Good,G,SI2,62.2,58.0,7.05,6.98,4.36
2963,0.72,Premium,D,SI2,62.0,60.0,5.73,5.69,3.54
2964,0.31,Premium,E,VVS2,62.2,56.0,4.31,4.28,2.67
2965,0.32,Premium,G,VS2,62.0,58.0,4.38,4.33,2.7
2966,0.44,Very Good,E,SI1,62.2,60.0,4.79,4.86,3.0
2967,1.51,Premium,E,VS2,60.7,60.0,7.46,7.37,4.5
2968,0.3,Fair,E,VVS2,51.0,67.0,4.67,4.62,2.37
2969,1.19,Premium,G,VS2,58.9,61.0,6.88,6.81,4.03
2970,0.51,Ideal,F,VVS2,60.3,56.0,5.2,5.23,3.15
2971,1.7,Premium,G,SI1,62.1,57.0,7.61,7.55,4.71
2972,0.33,Ideal,F,VVS2,61.7,55.0,4.46,4.49,2.76
2973,0.46,Premium,E,VS1,61.9,58.0,4.91,4.94,3.05
2974,0.3,Ideal,H,VS2,62.4,54.0,4.31,4.34,2.7
2975,0.5,Fair,F,SI2,65.5,54.0,5.06,4.92,3.25
2976,0.3,Very Good,D,VS2,62.5,59.0,4.23,4.28,2.66
2977,0.31,Good,D,SI1,63.4,58.0,4.32,4.35,2.75
2978,0.27,Very Good,E,VVS2,58.6,61.0,4.27,4.3,2.51
2979,0.91,Ideal,F,SI2,60.3,57.0,6.26,6.34,3.8
2980,0.34,Ideal,D,IF,59.8,57.0,4.57,4.59,2.74
2981,1.19,Ideal,G,VVS2,60.9,53.0,6.88,6.92,4.2
2982,1.23,Ideal,J,SI2,63.2,58.0,6.82,6.74,4.29
2983,0.33,Very Good,D,SI2,63.4,56.0,4.43,4.4,2.8
2984,1.51,Good,I,VVS2,63.6,58.0,7.29,7.26,4.63
2985,1.01,Very Good,F,SI1,60.3,60.0,6.46,6.55,3.92
2986,0.71,Very Good,D,VS1,62.9,56.0,5.65,5.7,3.57
2987,1.0,Ideal,G,VVS1,61.9,57.0,6.39,6.43,3.97
2988,0.35,Premium,G,VS1,61.2,58.0,4.51,4.54,2.77
2989,0.26,Good,H,VVS2,63.4,55.0,4.05,4.06,2.57
2990,0.7,Premium,H,VVS2,59.6,59.0,5.83,5.78,3.46
2991,1.01,Premium,G,VS1,59.8,59.0,6.55,6.5,3.9
2992,0.71,Premium,F,SI1,59.7,60.0,5.82,5.77,3.46
2993,0.79,Very Good,J,VS2,60.8,56.0,5.98,6.02,3.65
2994,0.56,Ideal,H,VS2,61.8,54.0,5.34,5.31,3.29
2995,0.35,Premium,D,SI1,62.1,58.0,4.54,4.51,2.81
2996,0.27,Very Good,E,VVS2,61.9,58.0,4.1,4.14,2.55
2997,2.3,Ideal,H,SI2,62.6,57.0,8.4,8.35,5.25
2998,1.32,Premium,I,SI1,62.2,58.0,7.04,6.99,4.36
2999,1.03,Premium,G,VS1,60.7,58.0,6.55,6.5,3.96
3000,0.58,Ideal,E,VS2,61.6,55.0,5.33,5.38,3.3
3001,0.7,Ideal,G,VS1,60.6,57.0,5.75,5.7,3.47
3002,0.7,Fair,H,SI1,64.7,58.0,5.59,5.54,3.6
